?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/ZFA_0001045>	"Ventromedial region of somite 5 that will form vertebral cartilages and connective tissues. The sclerotome lies ventral to the myotome. Cells of the sclerotome will migrate dorsally to surround the notochord and neural tube."	"TAO:0001045"
<http://purl.obolibrary.org/obo/ZFA_0000040>	"Surface structure that will develop into one of the median fins.  Extends from dorsal surface of fish, caudal to the 8th somite, to the ventral surface ending at the caudal side of the  vent."	"TAO:0000040"
<http://purl.obolibrary.org/obo/ZFA_0000086>	"Outermost monolayer of cells surrounding the embryo that become very flattened in the blastula and give rise to the periderm. Sometimes used synonymously with periderm."	"TAO:0000086"
<http://purl.obolibrary.org/obo/ZFA_0001550>	"Lepidotrichium which is part of the caudal fin."	"TAO:0001550"
<http://purl.obolibrary.org/obo/ZFA_0001556>	"Trunk ganglion which is part of a bilaterally paired set of sympathetic ganglia located anterior and lateral to the spinal cord."	"TAO:0001556"
<http://purl.obolibrary.org/obo/ZFA_0000824>	"Roof plate that is part of rhombomere 2."	"TAO:0000824"
<http://purl.obolibrary.org/obo/ZFA_0000754>	"Fast muscle cell located in somite 19."	"TAO:0000754"
<http://purl.obolibrary.org/obo/ZFA_0001224>	"Basibranchial 2 ossifies in copula 1 posterior to the first hypobranchials and anterior to the second hypobranchials (6.8 mm).  It is the first of the three basibranchials to ossify."	"TAO:0001224"
<http://purl.obolibrary.org/obo/ZFA_0000621>	"The quadrate is the dorsal bone in the jaw joint with the anguloarticular of the lower jaw. Ossification of the quadrate, a cartilage bone, begins as a posteriorly projecting membranous spine between the symplectic cartilage and the preopercle (5.1 mm NL). The body of the quadrate ossifies first at the ball-and-socket articulation with the anguloarticular (6.5 mm). The adult quadrate is shaped roughly like an inverted triangle with a long, posteriorly projecting spine off its posteroventral edge. The presence of a posteroventral or posterior process of the quadrate is a synapomorphy of Teleostei."	"TAO:0000621"
<http://purl.obolibrary.org/obo/ZFA_0001567>	"Oocyte part of stage I ovarian follicle. Stage I oocytes are basophilic, and have relatively large nuclei."	"TAO:0001567"
<http://purl.obolibrary.org/obo/ZFA_0005301>	"Blood vessel part of pectoral fin."	"TAO:0005301"
<http://purl.obolibrary.org/obo/ZFA_0000102>	"Region of the median fin fold that develops into the dorsal fin."	"TAO:0000102"
<http://purl.obolibrary.org/obo/ZFA_0000823>	"Hindbrain segment or neuromere posterior to rhombomere 4."	"TAO:0000823"
<http://purl.obolibrary.org/obo/ZFA_0000359>		"TAO:0000359"
<http://purl.obolibrary.org/obo/ZFA_0000049>	"Lumen of optic stalk."	"TAO:0000049"
<http://purl.obolibrary.org/obo/ZFA_0000475>	"Diencephalic nucleus which is located anterior to the caudal tuberal nucleus and contains tyrosine hydroxylase immunoreactive CSF contacting bipolar cells."	"TAO:0000475"
<http://purl.obolibrary.org/obo/ZFA_0001336>	"Neural spines are extensions of neural arches dorsal to the neural canal in the median skeletogenous septum. Neural spines are typically unpaired median structures but can be paired in some instances, e.g., in the abdominal region of basal teleosts such as Leptolepis, Elops, Megalops, and Hiodon)."	"TAO:0001336"
<http://purl.obolibrary.org/obo/ZFA_0005723>	"Protoglomeruli in the central zone  of the glomerular layer of the olfactory bulb.  The central zone protoglomeruli have somewhat indistinct boundaries.  Located medially to protoglomerulus 2."	
<http://purl.obolibrary.org/obo/ZFA_0009149>	"Is a hindbrain interneuron.  Giant reticulospinal neurons possessing thick crossed axons and positioned dorsally in the hindbrain tegmentum at the level of entrance of the eighth cranial nerve.  The Mauthner neuron is paired. The M-cell has two large invariant dendrites: The lateral dendrite terminates in the sensory neuropil of the acoustico-lateral area, and the ventral dendrite terminates in the neuropil of the motor tegmentum. Fine dendrites are present, and mostly arise from three regions; from the terminus of each major dendrite and from the ventral surface of the perikaryon."	"CL:0000246 TAO:0009149"
<http://purl.obolibrary.org/obo/ZFA_0005670>	"Protoglomeruli in the central zone  of the glomerular layer of the olfactory bulb.  The central zone protoglomeruli have somewhat indistinct boundaries."	
<http://purl.obolibrary.org/obo/ZFA_0005258>	"The vascular endothelium that lines the lymph vessels."	"TAO:0005258"
<http://purl.obolibrary.org/obo/ZFA_0000489>		
<http://purl.obolibrary.org/obo/ZFA_0009048>	"A leukocyte with abundant granules in the cytoplasm."	"CL:0000094 TAO:0009048"
<http://purl.obolibrary.org/obo/ZFA_0000673>	"A pair of HA are connect one to each AA1. They run rostromedially until at the extreme rostro-ventral midline the two vessels merge and then run straight caudally along the ventral midline until they reach the cranial end of the ventral aorta (VA). There, the single HA passes just dorsal to the rostral end of the VA and then immediately splits again into a pair of HA. The paired HA continue caudally just to either side of the ventral midline. The HA provide blood supply to the ventral branchial region and the heart."	"TAO:0000673"
<http://purl.obolibrary.org/obo/ZFA_0001463>	"Surface structure composed of an array of melanophores arranged in a stripe.  Stripes are oriented from rostral to caudal."	"TAO:0001463"
<http://purl.obolibrary.org/obo/ZFA_0005174>	"Portion of the liver which develops on the fish's ventral side."	"TAO:0005174"
<http://purl.obolibrary.org/obo/ZFA_0001322>	"A tract originating in the epiphysis and fasciculating with the tract of the postoptic commissure dorsal to the ventral flexure."	"TAO:0001322"
<http://purl.obolibrary.org/obo/ZFA_0005647>	"Dense regular connective tissue that connects muscle to bone."	"VSAO:0000073"
<http://purl.obolibrary.org/obo/ZFA_0001264>	"Stage IV follicles (690-730 microns) contain a stage 4 oocyte and are considered mature."	"TAO:0001264"
<http://purl.obolibrary.org/obo/ZFA_0000252>	"Diencephalic white matter (tract) which is comprised of retinal ganglion cell axons after which they have passed through the optic chiasm."	"TAO:0000252"
<http://purl.obolibrary.org/obo/ZFA_0005388>	"Anatomical space that is a concavity, shallow depression, or groove on a bone."	"TAO:0001743"
<http://purl.obolibrary.org/obo/ZFA_0000101>	"The more posterior and ventral of two forebrain neuromeres, the other being the telencephalon; major derivatives are the eye cups, the brain pretectal region, the thalamus, hypothalamus, and epithalamus (including the habenula and epiphysis)."	"TAO:0000101"
<http://purl.obolibrary.org/obo/ZFA_0000557>	"Vertebra anterior to the urostyle; sometimes termed the 'penultimate' vertebra."	"TAO:0000557"
<http://purl.obolibrary.org/obo/ZFA_0005904>	"A protrusion of cartilage at the posteroventral tip of  Meckel's cartilage that gives rise to the retroarticular."	
<http://purl.obolibrary.org/obo/ZFA_0005552>	"Pectoral fin lepidotrichium that, in a linear sequence, is the fifth most anterior pectoral ray , usually branched and segmented."	"TAO:0001765"
<http://purl.obolibrary.org/obo/ZFA_0000167>	"Median fin skeleton that is located posterior to the anus."	"TAO:0000167"
<http://purl.obolibrary.org/obo/ZFA_0005720>	"Protoglomeruli in the lateral  region of the glomerular layer of the olfactory bulb. Ventrolateral protoglomerulus located in the lateral region of the olfactory bulb."	
<http://purl.obolibrary.org/obo/ZFA_0001342>	"Embryonic structure that gives rise to the intervening zone."	"TAO:0001342"
<http://purl.obolibrary.org/obo/ZFA_0000720>	"A muscle cell that is small, darkly colored, with high lipid and mitochondrial content. Slow muscle cells are located superficial to the fast muscle cell in the myotome of somite 24."	"TAO:0000720"
<http://purl.obolibrary.org/obo/ZFA_0001553>		
<http://purl.obolibrary.org/obo/ZFA_0001168>	"Vertebra that is posteriorly adjacent to vertebra 1."	"TAO:0001168"
<http://purl.obolibrary.org/obo/ZFA_0005642>	"Ligament that connects the  rostral process of the maxilla  to the kinethmoid."	
