Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	myotome somite 26	definition	Portion of somite 16 that gives rise to body wall muscle masses.
ERROR	duplicate_definition	myotome somite 16	definition	Portion of somite 16 that gives rise to body wall muscle masses.
ERROR	duplicate_definition	posterior lateral line	definition	<One of eight distinct lateral lines in the 4-day larva. A sensory system on the surface of the fish, consisting of small sensory patches (neuromasts) distributed in discrete lines over the body surface. The lateral line system is stimulated by local water displacements and vibrations, and detects propulsion of the fish through the water, as well as facilitating shoaling, prey capture, and predator and obstacle avoidance. (See Anatomical Atlas entry for <a href='http://zfin.org/zf_info/anatomy/dict/lat_line/lat_line.html'>lateral line</a> by T. Whitfield.)>
ERROR	duplicate_definition	dorsal lateral line	definition	<One of eight distinct lateral lines in the 4-day larva. A sensory system on the surface of the fish, consisting of small sensory patches (neuromasts) distributed in discrete lines over the body surface. The lateral line system is stimulated by local water displacements and vibrations, and detects propulsion of the fish through the water, as well as facilitating shoaling, prey capture, and predator and obstacle avoidance. (See Anatomical Atlas entry for <a href='http://zfin.org/zf_info/anatomy/dict/lat_line/lat_line.html'>lateral line</a> by T. Whitfield.)>
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/zfa.owl	dc11:description	
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/zfa.owl	dc11:title	
WARN	annotation_whitespace	corpus cerebelli	has_exact_synonym	corpus cerebelli granular layer 
WARN	annotation_whitespace	superior caudal dorsal flexor	has_exact_synonym	flexor caudalis dorsalis superioris  
WARN	annotation_whitespace	upper oral valve	has_exact_synonym	upper semilunar valve 
WARN	annotation_whitespace	dilatator operculi	has_exact_synonym	 dilatator opercula
WARN	annotation_whitespace	facial lobe	has_related_synonym	tuberculum impar of Herrick 
WARN	annotation_whitespace	posttemporal	has_related_synonym	post-temporal 
WARN	annotation_whitespace	statoacoustic (VIII) ganglion	has_exact_synonym	octaval ganglion 
WARN	annotation_whitespace	torus semicircularis	has_exact_synonym	semicircular torus 
WARN	annotation_whitespace	ventral transverse	has_exact_synonym	transversus ventralis 
WARN	annotation_whitespace	caudal hypothalamic zone	has_exact_synonym	hypothalamus pars tuberalis 
WARN	annotation_whitespace	telencephalic ventricle	has_exact_synonym	ventriculi telencephali 
WARN	annotation_whitespace	intestinal bulb	has_exact_synonym	 pseudogaster 
WARN	annotation_whitespace	myocardium	has_related_synonym	heart muscle 
WARN	annotation_whitespace	choroid plexus third ventricle	has_exact_synonym	diencephalic choroid plexus 
WARN	annotation_whitespace	pronephric glomerulus	has_exact_synonym	pronephric glomus 
WARN	annotation_whitespace	preural centrum 1+ ural centrum 1	has_related_synonym	urostyle 
